id,name,description,price,category,stock
57,Backpack for School,Spacious student-friendly backpack,29.99,Textiles,150
58,Sunscreen Cap,UV-protective cap with built-in sunscreen layer,19.99,Textiles,170
59,Shoes - Formal Men's,Oxfords leather formal shoes,59.99,Textiles,100
60,Women's Dress,Elegant party or office wear dress,49.99,Textiles,120
61,Smart Thermostat,Energy-efficient programmable thermostat,149.99,Electronics,50
62,Smart Plug,Control devices remotely via app or voice,19.99,Electronics,200
63,Smart Lights Dimmable,Adjust brightness and color temperature,24.99,Electronics,180
64,Smart Speakers with Alexa,All-in-one smart assistant and speaker,89.99,Electronics,90
65,Streaming Stick,4K streaming device with Alexa support,49.99,Electronics,150
66,Smart Display,Touchscreen smart assistant with camera,129.99,Electronics,60
67,Smart Lock,Keyless door lock with remote access,119.99,Electronics,70
68,Security Camera Outdoor,Weatherproof HD security camera,99.99,Electronics,80
69,Smart Light Strip,RGB light strip controllable via app,29.99,Electronics,170
70,Smart Water Leak Detector,Alerts for water leaks in real-time,39.99,Electronics,100
71,Start With Why,Simon Sinek's leadership and innovation book,16.99,Books,190
72,Leaders Eat Last,On leadership and team-building,17.99,Books,180
73,Man’s Search for Meaning,Victor Frankl's inspiring memoir,12.99,Books,210
74,Outliers,Malcolm Gladwell on success and opportunity,14.99,Books,200
75,The Power of Now,Eckhart Tolle’s spiritual guide,13.99,Books,190
76,The Four Agreements,Don Miguel Ruiz’s guide to personal freedom,11.99,Books,220
77,The Gifts of Imperfection,Brene Brown’s guide to wholehearted living,15.99,Books,200
78,Atomic Habits Summary,Short summary version of the original,9.99,Books,230
79,Who Moved My Cheese?,An allegory on change in life and work,10.99,Books,240
80,The Power of Habit,Charles Duhigg on habit formation,16.49,Books,180
81,Winter Boots,Waterproof boots for snow and rain,59.99,Textiles,120
82,Windbreaker Jacket,Lightweight windproof jacket,39.99,Textiles,160
83,Women's Leggings,High-waisted stretch leggings for fitness,29.99,Textiles,200
84,Casual Shirts for Men,Breathable cotton shirts,24.99,Textiles,180
85,Women's Sweater,Knit sweater for winter,34.99,Textiles,150
86,Sports Shorts,Athletic shorts for running or gym,19.99,Textiles,210
87,Sandals for Men,Open-toe casual sandals,22.99,Textiles,190
88,Women's Blouse,Elegant blouse for office or parties,29.99,Textiles,160
89,Formal Suit for Men,3-piece business suit,129.99,Textiles,80
90,Women's Coat,Stylish long coat for winter,69.99,Textiles,90
91,Smart Air Purifier,HEPA filter with air quality monitoring,199.99,Electronics,40
92,Smart Coffee Maker,App-controlled coffee maker with timer,89.99,Electronics,70
93,Smart Garden Sprinkler,System for automated lawn watering,129.99,Electronics,50
94,Smart Garage Door Opener,Remote-controlled garage opener,149.99,Electronics,30
95,Smart Smoke Detector,Connected smoke alarm with mobile alerts,49.99,Electronics,100
96,Smart Outlet Timer,Timer-based smart plug for appliances,24.99,Electronics,180
97,Smart Fish Tank Heater,Heater with automatic temperature control,39.99,Electronics,90
98,Smart Pet Feeder,Remote-controlled pet feeding system,79.99,Electronics,60
99,Smart Aquarium Lights,LED lights with color and brightness control,29.99,Electronics,110
100,Smart Plant Sensor,Measures soil moisture light and temperature,34.99,Electronics,80
101,The 4-Hour Workweek,Tim Ferriss’s guide to lifestyle design,15.99,Books,200
102,Hooked,Build habit-forming products – Nir Eyal,16.99,Books,180
103,Influence,Robert Cialdini’s psychology of persuasion,17.99,Books,170
104,Zero to One,Peter Thiel on startups and innovation,14.99,Books,190
105,Lean In,Sheryl Sandberg’s guide to women in leadership,13.99,Books,210
